,date,preds_0_Chatfield Reservoir,actual,preds_1_Chatfield Reservoir,preds_2_Chatfield Reservoir,preds_3_Chatfield Reservoir,preds_4_Chatfield Reservoir,preds_5_Chatfield Reservoir,preds_6_Chatfield Reservoir,preds_7_Chatfield Reservoir,preds_8_Chatfield Reservoir,preds_9_Chatfield Reservoir,preds_10_Chatfield Reservoir,preds_11_Chatfield Reservoir,preds_12_Chatfield Reservoir,preds_13_Chatfield Reservoir,preds_14_Chatfield Reservoir,preds_15_Chatfield Reservoir,preds_16_Chatfield Reservoir,preds_17_Chatfield Reservoir,preds_18_Chatfield Reservoir,preds_19_Chatfield Reservoir,preds_20_Chatfield Reservoir,preds_21_Chatfield Reservoir,preds_22_Chatfield Reservoir,preds_23_Chatfield Reservoir,site_name,lat,lon
0,2023-06-03 06:00:00+00:00,0.05451571,0.051,0.037336394,0.040199704,0.037580512,0.035449624,0.037573196,0.033089075,0.03302994,0.034315497,0.033955533,0.031952966,0.03168782,0.03155572,0.03114094,0.030979406,0.031133743,0.031101717,0.030992733,0.030982466,0.030964887,0.031006744,0.031031767,0.030927323,0.030974926,Chatfield Reservoir,39.534488,-105.070358
1,2023-06-03 07:00:00+00:00,0.045278203,0.04700000000000001,0.049046405,0.034202535,0.036630563,0.034365643,0.032586243,0.03437204,0.03057089,0.030520191,0.03162695,0.03131782,0.029621843,0.029403538,0.029295577,0.028956259,0.028826527,0.028953888,0.028925197,0.028809717,0.02879661,0.028772138,0.028828198,0.028858941,0.028735485,Chatfield Reservoir,39.534488,-105.070358
2,2023-06-03 08:00:00+00:00,0.04329013,0.04,0.041513827,0.044906173,0.031654432,0.03374779,0.031852365,0.030363457,0.031866394,0.028610427,0.02856667,0.029522745,0.02925884,0.027834212,0.027658321,0.027571864,0.027302157,0.027200896,0.02730294,0.027277408,0.027157994,0.02714285,0.027113318,0.027181499,0.027217524,Chatfield Reservoir,39.534488,-105.070358
3,2023-06-03 09:00:00+00:00,0.036509465,0.035,0.039908357,0.03832678,0.04138024,0.029606113,0.031362507,0.029768053,0.028514927,0.029801793,0.026964132,0.026925426,0.02776456,0.027535906,0.026328374,0.026185412,0.026116021,0.025900483,0.025821352,0.025903778,0.02588079,0.025758827,0.025742391,0.02570879,0.0257878,Chatfield Reservoir,39.534488,-105.070358
4,2023-06-03 10:00:00+00:00,0.0318855,0.034,0.03343744,0.03652133,0.035088327,0.03782447,0.02773414,0.0292126,0.027862074,0.026782477,0.027918212,0.025342556,0.025306845,0.02608074,0.025873283,0.024794066,0.024670277,0.02461112,0.02443072,0.024365926,0.024433414,0.02441401,0.024302458,0.024285674,0.024250707,Chatfield Reservoir,39.534488,-105.070358
5,2023-06-03 11:00:00+00:00,0.031761006,0.027000000000000003,0.029652083,0.031005647,0.03371222,0.032451175,0.034772042,0.02632531,0.027554063,0.02640526,0.025467,0.026488688,0.024114504,0.024081007,0.024802629,0.024613332,0.023651587,0.023545748,0.023496637,0.023351451,0.02330124,0.02335321,0.02333757,0.023238538,0.023221951,Chatfield Reservoir,39.534488,-105.070358
6,2023-06-03 12:00:00+00:00,0.025403788,0.023,0.030219333,0.028475374,0.029583002,0.03183272,0.030814243,0.0326826,0.025938047,0.026925214,0.025970727,0.02516665,0.026084226,0.02388535,0.023853792,0.02450925,0.02434514,0.023569293,0.023496771,0.023464138,0.02336108,0.023323761,0.023379363,0.023352833,0.023167117,Chatfield Reservoir,39.534488,-105.070358
7,2023-06-03 13:00:00+00:00,0.02626135,0.019,0.028506313,0.032140326,0.03080545,0.031645235,0.033310827,0.032556273,0.033948753,0.02890012,0.02965009,0.028884076,0.028208796,0.029030507,0.026966123,0.026935115,0.027574597,0.027415467,0.026682906,0.026618889,0.026586685,0.026459297,0.026398415,0.026509069,0.026451852,Chatfield Reservoir,39.534488,-105.070358
8,2023-06-03 14:00:00+00:00,0.024687374,0.024000000000000004,0.03124685,0.032822285,0.035452537,0.034479078,0.035067093,0.03624269,0.035710428,0.036719143,0.033013638,0.033577938,0.03296709,0.032402672,0.033126168,0.031222451,0.031192316,0.031846378,0.031672817,0.030811092,0.030719489,0.030669183,0.030467026,0.03036567,0.030532809,Chatfield Reservoir,39.534488,-105.070358
9,2023-06-03 15:00:00+00:00,0.030878773,0.027000000000000003,0.031507052,0.036028396,0.037144244,0.038997076,0.038331162,0.038732175,0.039536227,0.03916162,0.039901465,0.037088946,0.037532955,0.037025716,0.03653839,0.037186317,0.035422582,0.035393603,0.0360642,0.035873707,0.034851853,0.034726206,0.03465559,0.034384113,0.034250624,Chatfield Reservoir,39.534488,-105.070358
10,2023-06-03 16:00:00+00:00,0.03220458,0.04700000000000001,0.035904992,0.036358543,0.03969958,0.040515102,0.041813128,0.04134259,0.04161884,0.042186256,0.041911393,0.042485666,0.040181328,0.040564146,0.040105596,0.039650116,0.040272232,0.038541898,0.038512826,0.03921897,0.039008506,0.03783201,0.03767637,0.037588503,0.037260327,Chatfield Reservoir,39.534488,-105.070358
11,2023-06-03 17:00:00+00:00,0.051616043,0.053000000000000005,0.03717456,0.039906323,0.04024901,0.042709734,0.043280624,0.044185907,0.043867785,0.04405381,0.04445038,0.044244837,0.044709448,0.04272864,0.04307486,0.042643446,0.04220384,0.042814992,0.041092806,0.041063525,0.041802313,0.04157479,0.040271327,0.040091764,0.039990865,Chatfield Reservoir,39.534488,-105.070358
12,2023-06-03 18:00:00+00:00,0.052747674,0.058,0.05126639,0.04008388,0.042199705,0.042457223,0.04418894,0.044583388,0.04517119,0.044970285,0.045085553,0.04535083,0.04519769,0.045578897,0.04385235,0.044166498,0.04376124,0.043340605,0.043932796,0.042250615,0.0422218,0.042968463,0.042733077,0.04136086,0.04116853,Chatfield Reservoir,39.534488,-105.070358
13,2023-06-03 19:00:00+00:00,0.05762667,0.056,0.052088473,0.05091374,0.04209574,0.043698326,0.04388196,0.04507849,0.04533254,0.04568912,0.045572165,0.045639306,0.04582088,0.045700043,0.046031695,0.044467885,0.044758733,0.04437636,0.043976374,0.044541426,0.042932946,0.0429054,0.043631718,0.04339826,0.042031832,Chatfield Reservoir,39.534488,-105.070358
14,2023-06-03 20:00:00+00:00,0.053356055,0.056,0.05513666,0.05065259,0.049713895,0.042837612,0.043999426,0.0441277,0.044893738,0.045043144,0.04523097,0.045171995,0.04520823,0.045340803,0.045236308,0.04554554,0.04405566,0.044334143,0.043965172,0.043579303,0.04412376,0.042577878,0.042551517,0.043257,0.043029003,Chatfield Reservoir,39.534488,-105.070358
15,2023-06-03 21:00:00+00:00,0.05348494,0.058,0.05071512,0.052165102,0.048495147,0.047742628,0.042491004,0.043337654,0.043424632,0.04388892,0.0439672,0.04404589,0.04402122,0.044040345,0.04414955,0.044052396,0.04435114,0.04290974,0.043177485,0.0428236,0.042455103,0.042972647,0.041506674,0.041481778,0.04214624,Chatfield Reservoir,39.534488,-105.070358
16,2023-06-03 22:00:00+00:00,0.05532971,0.056,0.050554525,0.048325956,0.04949487,0.046518013,0.045931045,0.041956957,0.042555887,0.042612474,0.042870518,0.0429036,0.042926244,0.042915624,0.04293108,0.043040596,0.042941403,0.043242116,0.041813053,0.04207376,0.041733753,0.041383434,0.04187183,0.04049127,0.04046805,Chatfield Reservoir,39.534488,-105.070358
17,2023-06-03 23:00:00+00:00,0.052423283,0.058,0.05170214,0.04778311,0.04593999,0.04689579,0.04453311,0.044076473,0.041107424,0.04151131,0.041545626,0.04166023,0.041669544,0.04167336,0.04166063,0.041682206,0.04181025,0.041702148,0.04201488,0.040558264,0.04081883,0.04048752,0.040151287,0.04061261,0.03931634,Chatfield Reservoir,39.534488,-105.070358
18,2023-06-04 00:00:00+00:00,0.054964606,0.058,0.04914021,0.04855861,0.04533544,0.043826777,0.044586174,0.042734955,0.042380653,0.040201332,0.040466566,0.040485684,0.040525835,0.040527027,0.04054077,0.040516794,0.040550005,0.040704798,0.04058457,0.040914796,0.039406415,0.0396716,0.03934516,0.039020084,0.039458085,Chatfield Reservoir,39.534488,-105.070358
19,2023-06-04 01:00:00+00:00,0.0528328,0.052,0.04947012,0.044931475,0.044459462,0.041833006,0.04063237,0.04123529,0.039755143,0.03947581,0.03781321,0.037989587,0.038001705,0.038024187,0.03803351,0.038080055,0.038036995,0.03808525,0.03827007,0.03813787,0.038483188,0.03692927,0.0371997,0.036877744,0.036564346,Chatfield Reservoir,39.534488,-105.070358
20,2023-06-04 02:00:00+00:00,0.044737168,0.045,0.045654938,0.042975776,0.039532024,0.039162155,0.03715583,0.03622727,0.036700603,0.03552656,0.03530136,0.03400361,0.034132693,0.03414288,0.03419421,0.034221116,0.034314927,0.0342495,0.03431373,0.034526292,0.03438453,0.034738354,0.03315615,0.033430655,0.03311614,Chatfield Reservoir,39.534488,-105.070358
21,2023-06-04 03:00:00+00:00,0.03935177,0.026,0.039079983,0.0398279,0.037636068,0.034779612,0.03448363,0.03286049,0.032114763,0.03249802,0.031537097,0.031352434,0.030321945,0.030413246,0.030421665,0.030484427,0.030520936,0.030639512,0.030562505,0.030634485,0.030857557,0.030714167,0.031063266,0.029501155,0.029771958,Chatfield Reservoir,39.534488,-105.070358
22,2023-06-04 04:00:00+00:00,0.021648603,0.022,0.035114817,0.034889165,0.035515234,0.03363679,0.03125868,0.03101188,0.029670535,0.02905848,0.02937406,0.028578179,0.02842531,0.02760369,0.027667278,0.027674114,0.027742727,0.027784219,0.027915804,0.027833221,0.027908646,0.028133405,0.027991999,0.028330745,0.026816726,Chatfield Reservoir,39.534488,-105.070358
