,date,preds_0_Idaho Springs,actual,preds_1_Idaho Springs,preds_2_Idaho Springs,preds_3_Idaho Springs,preds_4_Idaho Springs,preds_5_Idaho Springs,preds_6_Idaho Springs,preds_7_Idaho Springs,preds_8_Idaho Springs,preds_9_Idaho Springs,preds_10_Idaho Springs,preds_11_Idaho Springs,preds_12_Idaho Springs,preds_13_Idaho Springs,preds_14_Idaho Springs,preds_15_Idaho Springs,preds_16_Idaho Springs,preds_17_Idaho Springs,preds_18_Idaho Springs,preds_19_Idaho Springs,preds_20_Idaho Springs,preds_21_Idaho Springs,preds_22_Idaho Springs,preds_23_Idaho Springs,site_name,lat,lon
13,2023-06-03 19:00:00+00:00,0.043230984,0.046,0.04142381,0.036962237,0.035911437,0.03956323,0.03947482,0.038430024,0.038314156,0.038258635,0.038247637,0.03844391,0.03838252,0.03837787,0.038356654,0.038497154,0.03844733,0.038296938,0.03824466,0.038132176,0.037943978,0.037905622,0.037869494,0.038014594,0.03823734,Idaho Springs,39.792519,-105.49127
14,2023-06-03 20:00:00+00:00,0.04514686,0.045,0.04233765,0.040852945,0.03698918,0.036147155,0.03891099,0.038843352,0.03806259,0.037974913,0.037933197,0.03792464,0.03808342,0.038031153,0.038027015,0.0380072,0.038142875,0.03809398,0.037945066,0.037893306,0.037782334,0.037598986,0.037561867,0.03752636,0.037667584,Idaho Springs,39.792519,-105.49127
15,2023-06-03 21:00:00+00:00,0.042588234,0.045,0.042736057,0.040344052,0.03902977,0.035830706,0.03516528,0.03739479,0.037340254,0.036705315,0.036634646,0.03659981,0.03659243,0.03673698,0.036687426,0.03668335,0.036663182,0.03680272,0.03675253,0.036600213,0.036547747,0.036436755,0.03625689,0.036221117,0.03618733,Idaho Springs,39.792519,-105.49127
16,2023-06-03 22:00:00+00:00,0.042409267,0.044,0.04007102,0.040190797,0.03810357,0.037035167,0.034510262,0.033976514,0.03576717,0.035722584,0.03520822,0.0351506,0.03512161,0.035115197,0.035246223,0.035199735,0.035195798,0.035175845,0.035314765,0.03526493,0.03511414,0.035062604,0.034954846,0.034783274,0.03474978,Idaho Springs,39.792519,-105.49127
17,2023-06-03 23:00:00+00:00,0.041539732,0.043,0.0400329,0.038122233,0.038225733,0.036533497,0.035694603,0.033673316,0.03324968,0.034695953,0.034659863,0.034243166,0.034196295,0.034171663,0.034165934,0.034287956,0.034243464,0.034239613,0.034219716,0.034358103,0.03430883,0.034160774,0.03411079,0.034008205,0.03384858,Idaho Springs,39.792519,-105.49127
18,2023-06-04 00:00:00+00:00,0.041498493,0.045,0.040056255,0.038854655,0.037200194,0.03728288,0.03598193,0.03532942,0.033769015,0.03344401,0.034551013,0.034523122,0.034205683,0.034169674,0.03414966,0.034144696,0.03425531,0.034213834,0.034210145,0.03419074,0.034325927,0.034278072,0.03413518,0.0340877,0.03399234,Idaho Springs,39.792519,-105.49127
19,2023-06-04 01:00:00+00:00,0.041672923,0.044,0.03820562,0.03710245,0.036100388,0.034797255,0.03486008,0.033847753,0.033343222,0.032123365,0.031873483,0.03273744,0.032715335,0.03245995,0.032429893,0.032412257,0.032407705,0.03251012,0.032471552,0.032468103,0.032449916,0.032575775,0.032531563,0.032400396,0.032357134,Idaho Springs,39.792519,-105.49127
20,2023-06-04 02:00:00+00:00,0.03954722,0.044,0.03720018,0.034543023,0.033690527,0.032940336,0.03199405,0.03204174,0.0312702,0.030875256,0.029926663,0.029732749,0.030413195,0.03039526,0.030184228,0.030158669,0.030143065,0.030138975,0.030231228,0.030196527,0.030193407,0.03017695,0.03029063,0.030250367,0.030128285,Idaho Springs,39.792519,-105.49127
21,2023-06-04 03:00:00+00:00,0.04011327,0.041,0.035831008,0.033972703,0.0317963,0.031142768,0.03058815,0.029862154,0.029898455,0.029293986,0.028987776,0.028246902,0.028099261,0.0286269,0.028612738,0.028444557,0.028423766,0.028410649,0.028407145,0.028486537,0.02845657,0.02845386,0.028439524,0.028539475,0.028503254,Idaho Springs,39.792519,-105.49127
22,2023-06-04 04:00:00+00:00,0.037549146,0.039,0.036691133,0.033233915,0.031684615,0.029966053,0.02946929,0.029039156,0.028480474,0.028508972,0.028036183,0.027795184,0.027220288,0.027107704,0.027513228,0.027502134,0.027369421,0.027352674,0.02734171,0.027338726,0.027406923,0.027381098,0.027378744,0.027366096,0.02745656,Idaho Springs,39.792519,-105.49127
23,2023-06-04 05:00:00+00:00,0.036718752,0.036,0.035319638,0.034619976,0.03168158,0.030446677,0.0291333,0.028743098,0.028413702,0.027974559,0.0279966,0.027626405,0.027440635,0.026999319,0.026915543,0.027220277,0.027211813,0.027109819,0.02709657,0.027087519,0.027084986,0.027143346,0.027121048,0.027118968,0.027107364,Idaho Springs,39.792519,-105.49127
