,date,preds_0_East Plains,actual,preds_1_East Plains,preds_2_East Plains,preds_3_East Plains,preds_4_East Plains,preds_5_East Plains,preds_6_East Plains,preds_7_East Plains,preds_8_East Plains,preds_9_East Plains,preds_10_East Plains,preds_11_East Plains,preds_12_East Plains,preds_13_East Plains,preds_14_East Plains,preds_15_East Plains,preds_16_East Plains,preds_17_East Plains,preds_18_East Plains,preds_19_East Plains,preds_20_East Plains,preds_21_East Plains,preds_22_East Plains,preds_23_East Plains,site_name,lat,lon
0,2023-06-03 06:00:00+00:00,0.044341657,0.05,0.040233407,0.039556123,0.035761736,0.038606774,0.032703906,0.032360137,0.03159214,0.029821245,0.029709755,0.029209677,0.028381871,0.027682796,0.027778365,0.027755514,0.027819596,0.027562995,0.027208451,0.027112411,0.027102387,0.026858106,0.026983842,0.02707374,0.027194928,East Plains,39.638522,-104.569335
1,2023-06-03 07:00:00+00:00,0.046091527,0.056,0.04062594,0.037418123,0.036845163,0.03353415,0.035962407,0.030833514,0.030533066,0.029856706,0.028315915,0.028220491,0.027791083,0.027096419,0.026531827,0.026607368,0.026589109,0.026641896,0.0264205,0.026099522,0.026009569,0.025999999,0.025761638,0.025886558,0.025976006,East Plains,39.638522,-104.569335
2,2023-06-03 08:00:00+00:00,0.05180853,0.051,0.04219782,0.03781685,0.035050232,0.03454869,0.031698644,0.03382068,0.029301671,0.029034348,0.028430272,0.027076626,0.026994158,0.026624132,0.026038691,0.025582299,0.02564213,0.025627522,0.025671331,0.02547919,0.025186704,0.025102995,0.025093932,0.02486167,0.024985937,East Plains,39.638522,-104.569335
3,2023-06-03 09:00:00+00:00,0.0462981,0.046,0.047109723,0.03923306,0.03546084,0.033035807,0.032606237,0.030132547,0.03198868,0.027970344,0.027731389,0.027189765,0.025997233,0.025926013,0.0256072,0.025114963,0.024745237,0.024792759,0.024780989,0.024817545,0.024650015,0.024384374,0.024307182,0.024298636,0.024073511,East Plains,39.638522,-104.569335
4,2023-06-03 10:00:00+00:00,0.043173917,0.041,0.043462064,0.044145107,0.03715707,0.03381259,0.03171781,0.03134318,0.029172283,0.030831171,0.027183374,0.026964793,0.02646612,0.025376868,0.025312737,0.025028376,0.024595222,0.024272373,0.024313724,0.0243035,0.024335159,0.02419047,0.023957884,0.023887465,0.023879783,East Plains,39.638522,-104.569335
5,2023-06-03 11:00:00+00:00,0.03846298,0.031000000000000003,0.040577162,0.040813766,0.041412633,0.035087336,0.032162223,0.030320253,0.02998945,0.028046286,0.029557362,0.026186204,0.025983656,0.025520347,0.024527732,0.02447108,0.0242239,0.023859784,0.023602467,0.023634305,0.023626262,0.023652265,0.023527049,0.023317458,0.023251826,East Plains,39.638522,-104.569335
6,2023-06-03 12:00:00+00:00,0.029765813,0.038,0.03689139,0.03853479,0.03873348,0.039253313,0.03389054,0.031437915,0.0299157,0.029640498,0.02801261,0.02930627,0.026375988,0.026201088,0.025802616,0.025018368,0.024977159,0.024797084,0.024556171,0.024430368,0.024444401,0.024439337,0.024464026,0.02430121,0.023979751,East Plains,39.638522,-104.569335
7,2023-06-03 13:00:00+00:00,0.04050727,0.041,0.033122677,0.038103912,0.03937676,0.03953696,0.03994708,0.035779726,0.0339324,0.03279897,0.0325917,0.031337596,0.03237699,0.029942747,0.029795034,0.029447785,0.0287942,0.028759988,0.028596237,0.028360473,0.028212572,0.028235566,0.02822617,0.028270058,0.027981576,East Plains,39.638522,-104.569335
8,2023-06-03 14:00:00+00:00,0.042671464,0.043,0.0422126,0.03721408,0.04086597,0.04184423,0.04196431,0.042271197,0.039231364,0.03790569,0.03708668,0.03693035,0.035936825,0.036809202,0.03467296,0.034538507,0.034199532,0.033505145,0.033463784,0.033252586,0.032896448,0.032586034,0.032637898,0.03262069,0.032686006,East Plains,39.638522,-104.569335
9,2023-06-03 15:00:00+00:00,0.044751517,0.043,0.04444661,0.044134352,0.040465076,0.04324107,0.04396526,0.04405446,0.04428035,0.042031456,0.04104338,0.04040812,0.040278688,0.039410133,0.040210735,0.03818768,0.03805676,0.037707757,0.036925633,0.03687487,0.036612596,0.036143515,0.035693433,0.03576735,0.035745207,East Plains,39.638522,-104.569335
