,date,preds_0_Highlands Ranch,actual,preds_1_Highlands Ranch,preds_2_Highlands Ranch,preds_3_Highlands Ranch,preds_4_Highlands Ranch,preds_5_Highlands Ranch,preds_6_Highlands Ranch,preds_7_Highlands Ranch,preds_8_Highlands Ranch,preds_9_Highlands Ranch,preds_10_Highlands Ranch,preds_11_Highlands Ranch,preds_12_Highlands Ranch,preds_13_Highlands Ranch,preds_14_Highlands Ranch,preds_15_Highlands Ranch,preds_16_Highlands Ranch,preds_17_Highlands Ranch,preds_18_Highlands Ranch,preds_19_Highlands Ranch,preds_20_Highlands Ranch,preds_21_Highlands Ranch,preds_22_Highlands Ranch,preds_23_Highlands Ranch,site_name,lat,lon
13,2023-05-03 12:00:00+00:00,0.032025114,0.033,0.031975992,0.030502299,0.028336523,0.027538076,0.026408449,0.025992876,0.025033608,0.023647742,0.022538401,0.022151753,0.021418884,0.021138906,0.02090035,0.020656236,0.020311775,0.020318953,0.020123497,0.020106116,0.020091025,0.020095836,0.020084271,0.020084802,0.020064058,Highlands Ranch,39.567887,-104.957193
14,2023-05-03 13:00:00+00:00,0.031808108,0.033,0.030919585,0.030882385,0.029819991,0.02816443,0.02754367,0.026648173,0.02630993,0.025503855,0.024306534,0.02333505,0.02299382,0.022346862,0.022100473,0.02189311,0.021706847,0.021491496,0.021494737,0.021412266,0.02141008,0.021421943,0.021428281,0.021424264,0.021433603,Highlands Ranch,39.567887,-104.957193
15,2023-05-03 14:00:00+00:00,0.034262903,0.035,0.033144385,0.03249389,0.032468453,0.03168955,0.0304497,0.02997678,0.029279131,0.029007249,0.028336322,0.027317585,0.026480215,0.02618313,0.025615575,0.025397481,0.025211265,0.025055168,0.024889035,0.024891328,0.02482128,0.02481607,0.024805462,0.024802348,0.024823148,Highlands Ranch,39.567887,-104.957193
16,2023-05-03 15:00:00+00:00,0.03761572,0.042,0.036891624,0.036075782,0.035643097,0.035624985,0.035057597,0.03414785,0.03379623,0.033266924,0.033053536,0.032511774,0.031674463,0.030978575,0.030727932,0.03024098,0.03004974,0.029879777,0.029733792,0.029560002,0.029563291,0.029448543,0.029431826,0.029382424,0.029368415,Highlands Ranch,39.567887,-104.957193
17,2023-05-03 16:00:00+00:00,0.044798717,0.045,0.040191222,0.039635226,0.03907702,0.03876656,0.038753368,0.038345706,0.037690397,0.037437275,0.037044313,0.036881,0.036452744,0.035781614,0.035216764,0.035009425,0.03459646,0.034429587,0.03427317,0.034128584,0.0339257,0.033930615,0.033756383,0.033727564,0.033644546,Highlands Ranch,39.567887,-104.957193
18,2023-05-03 17:00:00+00:00,0.04667427,0.048,0.046447814,0.042701058,0.04230137,0.04190295,0.04168394,0.041675165,0.04141033,0.040997915,0.040836263,0.04057707,0.04046325,0.040152524,0.03965727,0.039235786,0.039077308,0.038751356,0.03861499,0.03847864,0.038340833,0.038115658,0.03812204,0.03789933,0.037862282,Highlands Ranch,39.567887,-104.957193
19,2023-05-03 18:00:00+00:00,0.048691478,0.054,0.047140915,0.046951294,0.04411404,0.04382449,0.043546807,0.043409508,0.043404344,0.043263987,0.043048102,0.042964548,0.04281694,0.042746164,0.042539135,0.042203113,0.04191335,0.041800894,0.041559037,0.041453283,0.04133879,0.04120881,0.04096421,0.04097181,0.040717546,Highlands Ranch,39.567887,-104.957193
20,2023-05-03 19:00:00+00:00,0.05424737,0.059,0.047914773,0.046585917,0.046434306,0.044275984,0.044062253,0.04387666,0.043790787,0.043788165,0.043723475,0.043637007,0.043601178,0.043525126,0.043481886,0.043344036,0.043115146,0.04291527,0.042834766,0.042652808,0.0425695,0.042472254,0.042349495,0.042095255,0.042103425,Highlands Ranch,39.567887,-104.957193
21,2023-05-03 20:00:00+00:00,0.05797788,0.06,0.052232184,0.046647083,0.045509804,0.04538555,0.043648012,0.043485574,0.043348745,0.04329782,0.043296516,0.043277707,0.04325811,0.04324871,0.0432097,0.04318132,0.043080878,0.04291127,0.042761438,0.042699065,0.04255164,0.042481497,0.042394597,0.042275663,0.042014524,Highlands Ranch,39.567887,-104.957193
22,2023-05-03 21:00:00+00:00,0.057721455,0.062,0.05528299,0.050268378,0.04539755,0.04443193,0.04432801,0.04292335,0.042792104,0.042696133,0.04266351,0.04266313,0.042667706,0.042686865,0.04269011,0.042669974,0.042648923,0.04256827,0.042430233,0.04230772,0.042255662,0.04212897,0.04206725,0.04198792,0.04187261,Highlands Ranch,39.567887,-104.957193
